book_id,title,authors,average_rating,ratings_count,original_publication_year,image_url,description,pages,genres
1,The Hunger Games,Suzanne Collins,4.34,4780653,2008.0,https://images.gr-assets.com/books/1447303603m/2767052.jpg,"In a dystopian future, children fight to survive in the Hunger Games, a deadly competition controlled by the Capitol.",1386,"['Fantasy', 'YA', 'Fiction', 'Young Adult', 'Classics', 'Horror', 'Mystery', 'Romance', 'Contemporary']"
2,Harry Potter and the Philosopher's Stone,J.K. Rowling,4.44,4602479,1997.0,https://images.gr-assets.com/books/1474154022m/3.jpg,An impactful story by J.K. Rowling that stands as a notable entry in its genre.,1124,"['Fantasy', 'Fiction', 'YA', 'Young Adult', 'Horror', 'Mystery', 'Romance', 'Sci-Fi']"
3,Twilight,Stephenie Meyer,3.57,3866839,2005.0,https://images.gr-assets.com/books/1361039443m/41865.jpg,A brilliant publication by Stephenie Meyer that continues to engage and inspire audiences.,1086,"['Fantasy', 'YA', 'Fiction', 'Young Adult', 'Classics', 'Mystery', 'Horror', 'Contemporary']"
4,To Kill a Mockingbird,Harper Lee,4.25,3198671,1960.0,https://images.gr-assets.com/books/1361975680m/2657.jpg,A compelling read by Harper Lee exploring profound themes with memorable character depth.,1113,[]
5,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1925.0,https://images.gr-assets.com/books/1490528560m/4671.jpg,A beautifully crafted book by F. Scott Fitzgerald that captures the imagination from start to finish.,1699,"['Fantasy', 'YA', 'Fiction', 'Young Adult', 'Classics', 'Mystery', 'Horror', 'Contemporary']"
6,The Fault in Our Stars,John Green,4.26,2346404,2012.0,https://images.gr-assets.com/books/1360206420m/11870085.jpg,A heartbreakingly beautiful story of teenage love and resilience in the face of illness.,1062,"['Fantasy', 'YA', 'Fiction', 'Young Adult', 'Classics', 'Mystery', 'Horror', 'Contemporary']"
7,The Hobbit or There and Back Again,J.R.R. Tolkien,4.25,2071616,1937.0,https://images.gr-assets.com/books/1372847500m/5907.jpg,"A highly regarded work by J.R.R. Tolkien, offering a memorable and engaging reading experience.",1404,[]
8,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951.0,https://images.gr-assets.com/books/1398034300m/5107.jpg,Holden Caulfield seeks authenticity in a world full of phonies during his journey of self-discovery in New York City.,1904,"['Fantasy', 'YA', 'Fiction']"
9,Angels & Demons,Dan Brown,3.85,2001311,2000.0,https://images.gr-assets.com/books/1303390735m/960.jpg,A brilliant publication by Dan Brown that continues to engage and inspire audiences.,1353,[]
10,Pride and Prejudice,Jane Austen,4.24,2035490,1813.0,https://images.gr-assets.com/books/1320399351m/1885.jpg,A compelling read by Jane Austen exploring profound themes with memorable character depth.,1916,"['Fantasy', 'Fiction', 'YA', 'Young Adult']"
11,The Kite Runner,Khaled Hosseini,4.26,1813044,2003.0,https://images.gr-assets.com/books/1484565687m/77203.jpg,Amir and Hassan's friendship is tested by betrayal in Afghanistan's tumultuous setting.,1895,"['Sci-Fi', 'Fiction', 'Fantasy', 'Classics', 'YA', 'Young Adult', 'Contemporary']"
12,Divergent,Veronica Roth,4.24,1903563,2011.0,https://images.gr-assets.com/books/1328559506m/13335037.jpg,A captivating narrative by Veronica Roth that has resonated with readers globally.,1295,[]
13,Nineteen Eighty-Four,George Orwell,4.14,1956832,1949.0,https://images.gr-assets.com/books/1348990566m/5470.jpg,"A dystopian society where reality is manipulated, and individuality is erased.",1875,"['Sci-Fi', 'Fiction', 'Fantasy', 'Classics', 'YA', 'Contemporary']"
14,Animal Farm: A Fairy Story,George Orwell,3.87,1881700,1945.0,https://images.gr-assets.com/books/1424037542m/7613.jpg,An impactful story by George Orwell that stands as a notable entry in its genre.,1897,[]
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Anne Frank,4.1,1972666,1947.0,https://images.gr-assets.com/books/1358276407m/48855.jpg,A brilliant publication by Anne Frank that continues to engage and inspire audiences.,1477,[]
